"SubNo"	"Hemisphere"	"ScalpLocation"	"CoilOrient"	"Block"	"Trial"	"Condition"	"Corr"	"Response"	"ACC"	"RT"	"Actual.orientation"	"Annoyance"	"Pain"	"Twitches"	"Visible.twitch"	"Av.RT.Prac"	"RT.Diff"	"Task"	"Congruence"	"Axes"	"HomLocation"	"RefLocation"
"69"	"1"	"1"	"106"	"S"	4	9	"incon_l"	"c"	"c"	"1"	0.434673	"N"	3	3	3	5	0.4339483	0.000724700000000023	"Flanker"	"Incong"	"N.S"	"V5"	"106"
"70"	"1"	"1"	"106"	"S"	4	10	"cong_l"	"c"	"c"	"1"	0.396386	"N"	3	3	3	5	0.4105801	-0.0141941	"Flanker"	"Cong"	"N.S"	"V5"	"106"
"71"	"1"	"1"	"106"	"W"	4	11	"incon_r"	"n"	"n"	"1"	0.450111	"W"	2	1	2	5	0.4346445	0.0154665	"Flanker"	"Incong"	"E.W"	"V5"	"106"
"72"	"1"	"1"	"106"	"W"	4	12	"incon_r"	"n"	"n"	"1"	0.459401	"W"	2	1	2	5	0.4346445	0.0247565	"Flanker"	"Incong"	"E.W"	"V5"	"106"
"73"	"1"	"1"	"106"	"W"	4	13	"incon_l"	"c"	"c"	"1"	0.421253	"W"	2	1	2	5	0.4339483	-0.0126953	"Flanker"	"Incong"	"E.W"	"V5"	"106"
"74"	"1"	"1"	"106"	"W"	4	14	"cong_l"	"c"	"c"	"1"	0.479479	"W"	2	1	2	5	0.4105801	0.0688988999999999	"Flanker"	"Cong"	"E.W"	"V5"	"106"
"75"	"1"	"1"	"106"	"W"	4	15	"cong_r"	"n"	"n"	"1"	0.473229	"W"	2	1	2	5	0.390825	0.082404	"Flanker"	"Cong"	"E.W"	"V5"	"106"
"76"	"1"	"1"	"106"	"NW"	4	16	"cong_r"	"n"	"n"	"1"	0.496897	"NW"	3	3	4	5	0.390825	0.106072	"Flanker"	"Cong"	"NW.SE"	"V5"	"106"
"77"	"1"	"1"	"106"	"NW"	4	17	"incon_r"	"n"	"n"	"1"	0.411344	"NW"	3	3	4	5	0.4346445	-0.0233005	"Flanker"	"Incong"	"NW.SE"	"V5"	"106"
"78"	"1"	"1"	"106"	"NW"	4	18	"cong_r"	"n"	"n"	"1"	0.404086	"NW"	3	3	4	5	0.390825	0.013261	"Flanker"	"Cong"	"NW.SE"	"V5"	"106"
"79"	"1"	"1"	"106"	"NW"	4	19	"incon_l"	"c"	"c"	"1"	0.493767	"NW"	3	3	4	5	0.4339483	0.0598187000000001	"Flanker"	"Incong"	"NW.SE"	"V5"	"106"
"80"	"1"	"1"	"106"	"NW"	4	20	"cong_l"	"c"	"c"	"1"	0.439612	"NW"	3	3	4	5	0.4105801	0.0290318999999999	"Flanker"	"Cong"	"NW.SE"	"V5"	"106"
"81"	"1"	"1"	"103"	"S"	5	1	"incon_r"	"n"	"n"	"1"	0.470093	"N"	4	4	4	5	0.4346445	0.0354485	"Flanker"	"Incong"	"N.S"	"LatIn"	"103"
"82"	"1"	"1"	"103"	"S"	5	2	"cong_r"	"n"	"n"	"1"	0.574229	"N"	4	4	4	5	0.390825	0.183404	"Flanker"	"Cong"	"N.S"	"LatIn"	"103"
"83"	"1"	"1"	"103"	"S"	5	3	"cong_r"	"n"	"n"	"1"	0.440199	"N"	4	4	4	5	0.390825	0.049374	"Flanker"	"Cong"	"N.S"	"LatIn"	"103"
"84"	"1"	"1"	"103"	"S"	5	4	"incon_l"	"c"	"c"	"1"	0.529893	"N"	4	4	4	5	0.4339483	0.0959447	"Flanker"	"Incong"	"N.S"	"LatIn"	"103"
"85"	"1"	"1"	"103"	"S"	5	5	"cong_l"	"c"	"c"	"1"	0.508009	"N"	4	4	4	5	0.4105801	0.0974289	"Flanker"	"Cong"	"N.S"	"LatIn"	"103"
"86"	"1"	"1"	"103"	"SW"	5	6	"incon_l"	"c"	"c"	"1"	0.478781	"NE"	4	4	5	5	0.4339483	0.0448327000000001	"Flanker"	"Incong"	"NE.SW"	"LatIn"	"103"
"87"	"1"	"1"	"103"	"SW"	5	7	"incon_r"	"n"	"n"	"1"	0.488261	"NE"	4	4	5	5	0.4346445	0.0536165	"Flanker"	"Incong"	"NE.SW"	"LatIn"	"103"
"88"	"1"	"1"	"103"	"SW"	5	8	"cong_l"	"c"	"c"	"1"	0.518509	"NE"	4	4	5	5	0.4105801	0.1079289	"Flanker"	"Cong"	"NE.SW"	"LatIn"	"103"
"89"	"1"	"1"	"103"	"SW"	5	9	"cong_r"	"n"	"n"	"1"	0.479652	"NE"	4	4	5	5	0.390825	0.088827	"Flanker"	"Cong"	"NE.SW"	"LatIn"	"103"
"90"	"1"	"1"	"103"	"SW"	5	10	"incon_r"	"n"	"n"	"1"	0.569492	"NE"	4	4	5	5	0.4346445	0.1348475	"Flanker"	"Incong"	"NE.SW"	"LatIn"	"103"
"91"	"1"	"1"	"103"	"W"	5	11	"cong_l"	"c"	"c"	"1"	0.403543	"W"	1	1	2	5	0.4105801	-0.00703710000000007	"Flanker"	"Cong"	"E.W"	"LatIn"	"103"
"92"	"1"	"1"	"103"	"W"	5	12	"cong_r"	"n"	"n"	"1"	0.444634	"W"	1	1	2	5	0.390825	0.053809	"Flanker"	"Cong"	"E.W"	"LatIn"	"103"
"93"	"1"	"1"	"103"	"W"	5	13	"cong_l"	"c"	"c"	"1"	0.454376	"W"	1	1	2	5	0.4105801	0.0437958999999999	"Flanker"	"Cong"	"E.W"	"LatIn"	"103"
"94"	"1"	"1"	"103"	"W"	5	14	"incon_r"	"n"	"n"	"1"	0.400247	"W"	1	1	2	5	0.4346445	-0.0343975	"Flanker"	"Incong"	"E.W"	"LatIn"	"103"
"95"	"1"	"1"	"103"	"W"	5	15	"incon_l"	"c"	"c"	"1"	0.426495	"W"	1	1	2	5	0.4339483	-0.00745329999999994	"Flanker"	"Incong"	"E.W"	"LatIn"	"103"
"96"	"1"	"1"	"103"	"NW"	5	16	"incon_l"	"c"	"c"	"1"	0.518029	"NW"	3	3	3	5	0.4339483	0.0840807	"Flanker"	"Incong"	"NW.SE"	"LatIn"	"103"
"97"	"1"	"1"	"103"	"NW"	5	17	"incon_l"	"c"	"c"	"1"	0.512251	"NW"	3	3	3	5	0.4339483	0.0783027000000001	"Flanker"	"Incong"	"NW.SE"	"LatIn"	"103"
"98"	"1"	"1"	"103"	"NW"	5	18	"cong_r"	"n"	"n"	"1"	0.505701	"NW"	3	3	3	5	0.390825	0.114876	"Flanker"	"Cong"	"NW.SE"	"LatIn"	"103"
"99"	"1"	"1"	"103"	"NW"	5	19	"cong_l"	"c"	"c"	"1"	0.467794	"NW"	3	3	3	5	0.4105801	0.0572138999999999	"Flanker"	"Cong"	"NW.SE"	"LatIn"	"103"
"100"	"1"	"1"	"103"	"NW"	5	20	"incon_r"	"n"	"n"	"1"	0.381084	"NW"	3	3	3	5	0.4346445	-0.0535605	"Flanker"	"Incong"	"NW.SE"	"LatIn"	"103"
"101"	"1"	"1"	"24"	"NW"	6	1	"incon_l"	"c"	"c"	"1"	0.509239	"NW"	1	1	4	2	0.4339483	0.0752907	"Flanker"	"Incong"	"NW.SE"	"FC5.6"	"24"
"102"	"1"	"1"	"24"	"NW"	6	2	"cong_l"	"c"	"c"	"1"	0.471625	"NW"	1	1	4	2	0.4105801	0.0610449	"Flanker"	"Cong"	"NW.SE"	"FC5.6"	"24"
"103"	"1"	"1"	"24"	"NW"	6	3	"cong_r"	"n"	"n"	"1"	0.59362	"NW"	1	1	4	2	0.390825	0.202795	"Flanker"	"Cong"	"NW.SE"	"FC5.6"	"24"
"104"	"1"	"1"	"24"	"NW"	6	4	"cong_l"	"c"	"c"	"1"	0.682923	"NW"	1	1	4	2	0.4105801	0.2723429	"Flanker"	"Cong"	"NW.SE"	"FC5.6"	"24"
"105"	"1"	"1"	"24"	"NW"	6	5	"incon_r"	"n"	"n"	"1"	0.48474	"NW"	1	1	4	2	0.4346445	0.0500955	"Flanker"	"Incong"	"NW.SE"	"FC5.6"	"24"
"106"	"1"	"1"	"24"	"SW"	6	6	"incon_l"	"c"	"c"	"1"	0.544175	"SW"	2	0	2	4	0.4339483	0.1102267	"Flanker"	"Incong"	"NE.SW"	"FC5.6"	"24"
